Mfg_Part_Num,ai_used,overall_confidence,needs_human_review,distributor_detected,n_attributes,review_reasons
49-94-0053,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0058,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0063,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0068,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0073,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0101,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0107,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0117,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0123,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0023,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0121,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0127,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0137,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0160,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0223,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0445,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0803,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0903,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0907,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0923,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1900,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1905,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1915,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1920,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1925,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1935,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-1940,False,0.44,True,False,1,Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 45 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment.
49-94-0501,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-0503,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-0523,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-1955,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-1965,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-0513,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
49-94-0533,False,0.27,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 31 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review.
DFBLBLOMFN01G,False,0.44,True,False,1,Product type/classpath unresolved by rules — needs AI classification or review. | MOBILE_DESC is 24 chars (target 60-80). | Classpath unresolved — needs classification review.
1700-1PK-BB40,False,0.19,True,False,0,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 22 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment.
ASH-40-40-04,False,0.19,True,False,0,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 38 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment.
KDFM404KPS,False,0.38,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 35 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PDSH4816AF,False,0.38,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 56 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PDT715SYVFS,False,0.43,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 27 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
LDPH5554D,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 21 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
WDTS7024RZ,False,0.38,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 46 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PDD415PYYFS,False,0.43,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | MOBILE_DESC is 27 chars (target 60-80). | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
KDTS424SBE,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 22 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
KDTS324SPS,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 22 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
KDPS624SJP,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 22 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
KDTS624SBE,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 22 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
D519127,False,0.19,True,False,0,Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 34 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment.
DF7004WE,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DR7004BE,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DV2000WE,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DC5004WE,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DC5004BE,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
WKE100HWA,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 9 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
FF7011WN,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PTD70GBPTDG,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | MOBILE_DESC is 15 chars (target 60-80). | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PTD70GBSTWS,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | MOBILE_DESC is 15 chars (target 60-80). | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DR5004WG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DR7004BG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DR7004WG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DV2000WG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DC5004WG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
DC5004BG,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
PTW705BSTWS,False,0.26,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | MOBILE_DESC is 15 chars (target 60-80). | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
MVWP586GW,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 9 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
TV2000WN,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
TC5003BN,False,0.09,True,True,0,"Part_Manuf 'Appliance Dealers Cooperative' looks like a distributor, not a manufacturer — withheld and flagged. | Product type/classpath unresolved by rules — needs AI classification or review. | Brand unresolved from input — needs manufacturer-source enrichment. | MOBILE_DESC is 8 chars (target 60-80). | BRAND_NAME empty — needs manufacturer-source enrichment. | Classpath unresolved — needs classification review. | No attributes extracted — description too sparse or needs enrichment. | ANOMALY: Part_Manuf 'Appliance Dealers Cooperative' is a distributor/reseller and no manufacturer could be resolved from the brand — withheld pending review."
